index,reference,startpos,ref length,number of reads,covbases,pc coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads
0,NR_025230.1,1,1411,7,1410,99.9291,6.53792,33.0,1.57,187326,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,6.5379163713678246,1.0251001140825722,0.1567930906201094,0.06
1,NR_025514.1,1,1518,1121,1508,99.3412,1060.4,32.2,33.2,158847,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,1060.397233201581,179.55108614309285,0.16932436309833362,10.32
2,NR_025518.1,1,1494,346,1464,97.992,323.406,34.9,49.1,179995,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum thomasii,323.4062918340027,69.88095816334022,0.21607791786317065,3.18
3,NR_025525.1,1,1475,20,1453,98.5085,18.8481,33.7,45.9,185008,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Butyrivibrio,Butyrivibrio hungatei,18.848135593220338,3.0547526042446926,0.16207187120106908,0.18
4,NR_025567.1,1,1498,51,1455,97.1295,48.3692,34.3,11.0,208479,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,48.36915887850467,8.88093828638544,0.18360745756801122,0.47
5,NR_025796.1,1,1435,2,1336,93.101,1.74843,35.0,1.0,259063,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Anaerocolumna,Anaerocolumna jejuensis,1.7484320557491289,0.5711922686389548,0.32668828437501,0.02
6,NR_025981.1,1,1477,1,1307,88.4902,0.884902,20.5,1.0,831,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Butyrivibrio,Butyrivibrio fibrisolvens,0.8849018280297901,0.31914038099138237,0.3606506065220136,0.01
7,NR_026075.1,1,1468,2,1316,89.6458,1.63147,32.1,1.0,13335,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum succiniciproducens,1.6314713896457766,0.6631739910230656,0.40648827508219637,0.02
8,NR_026100.1,1,1499,47,1457,97.1981,44.9553,34.9,1.6,1286362,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora,Lacrimispora celerecrescens,44.95530353569046,8.576851314842305,0.19078619518235612,0.43
9,NR_026106.1,1,1489,1,1338,89.859,0.89859,29.8,1.0,29322,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,Eubacterium,[Eubacterium] cellulosolvens,0.8985896574882472,0.3018713052666674,0.33593899367867547,0.01
