index,reference,startpos,ref length,number of reads,covbases,pc coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads
0,NR_024640.1,1,1422,7,1422,100.0,6.97187,40.4,1.0,61645,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter asburiae,6.971870604781997,0.16534246986988096,0.023715653838508245,0.12
1,NR_025230.1,1,1411,1,1381,97.8738,0.978738,35.3,1.0,187326,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,0.9787384833451452,0.14425485976004743,0.14738856417192392,0.02
2,NR_025514.1,1,1518,498,1508,99.3412,472.152,32.9,35.0,158847,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,472.1521739130435,80.42665316964211,0.170340533440929,8.88
3,NR_025525.1,1,1475,2,1437,97.4237,1.83051,36.7,54.0,185008,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Butyrivibrio,Butyrivibrio hungatei,1.8305084745762712,0.43850834879404593,0.23955548684119177,0.04
4,NR_025567.1,1,1498,9,1455,97.1295,8.35581,34.3,9.0,208479,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,8.355807743658211,1.6526376685281132,0.19778311316250807,0.16
5,NR_025981.1,1,1477,1,1348,91.2661,0.912661,32.8,1.0,831,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Butyrivibrio,Butyrivibrio fibrisolvens,0.9126607989167231,0.2823314807764318,0.30934984948574906,0.02
6,NR_026100.1,1,1499,11,1449,96.6644,10.535,38.3,2.09,1286362,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora,Lacrimispora celerecrescens,10.535023348899266,2.0170903016420723,0.19146519517233196,0.2
7,NR_026331.1,1,1488,16,1464,98.3871,15.6156,38.0,0.188,623,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri,15.615591397849462,2.0359864388744926,0.13038164146347242,0.29
8,NR_026332.1,1,1487,16,1479,99.462,15.6557,38.4,46.8,622,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella dysenteriae,15.655682582380631,1.9481699519084796,0.1244385188353913,0.29
9,NR_026409.1,1,1495,8,1453,97.1906,7.71237,37.9,3.75,29370,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora,Lacrimispora sphenoides,7.712374581939799,1.3464485852785975,0.17458288247974876,0.14
10,NR_026493.1,1,1488,5,1453,97.6478,4.84946,38.3,1.0,69825,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora,Lacrimispora indolis,4.849462365591398,0.7821425846846588,0.16128439107688086,0.09
12,NR_027549.1,1,1473,2,1442,97.8955,1.91853,29.0,4.0,585054,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia fergusonii,1.9185336048879837,0.3419365326889555,0.178228065339997,0.04
13,NR_028682.1,1,1538,1,1432,93.1079,0.931079,29.9,46.0,137732,Bacteria,unclassified Bacteria kingdom,Bacillota,Bacilli,Lactobacillales,Carnobacteriaceae,Granulicatella,Granulicatella elegans,0.9310793237971391,0.2533191990248706,0.27207048051693505,0.02
14,NR_028862.1,1,1537,11,1511,98.3084,10.5582,35.3,59.9,209880,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Allisonella,Allisonella histaminiformans,10.558230318802863,1.731306588268277,0.16397696735077283,0.2
15,NR_029097.1,1,1374,177,1322,96.2154,165.378,34.8,1.88,237576,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Oribacterium,Oribacterium sinus,165.37772925764193,35.43248041694647,0.21425182565994852,3.16
