index,reference,startpos,ref length,number of reads,covbases,pc coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads
0,NR_025230.1,1,1411,29,1411,100.0,26.776,18.7,2.83,187326,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,26.7760453579022,3.5383121632542234,0.1321446881329692,0.33
1,NR_025514.1,1,1518,729,1508,99.3412,684.209,19.5,38.5,158847,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,684.2094861660079,116.8910660954789,0.17084104862456986,8.38
2,NR_025518.1,1,1494,210,1464,97.992,193.136,19.1,38.1,179995,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum thomasii,193.1358768406961,41.762407410153706,0.21623329695808155,2.41
3,NR_025567.1,1,1498,18,1476,98.5314,16.7103,18.7,10.4,208479,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,16.710280373831775,3.180827671282229,0.19035154408680008,0.21
4,NR_025569.1,1,1494,1,1424,95.3146,0.953146,18.5,8.0,208962,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia albertii,0.9531459170013387,0.21132623572338397,0.2217144636030447,0.01
5,NR_025796.1,1,1435,7,1409,98.1882,6.38328,18.6,3.14,259063,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Anaerocolumna,Anaerocolumna jejuensis,6.383275261324042,1.4125368500689348,0.221287159372153,0.08
6,NR_025862.1,1,1406,1,1381,98.2219,0.982219,21.5,40.0,46124,Bacteria,unclassified Bacteria kingdom,Bacillota,Bacilli,Lactobacillales,Carnobacteriaceae,Granulicatella,Granulicatella adiacens,0.9822190611664295,0.13215436825079613,0.1345467355254304,0.01
7,NR_025981.1,1,1477,2,1399,94.719,1.83209,17.7,8.0,831,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Butyrivibrio,Butyrivibrio fibrisolvens,1.8320920785375763,0.4953123765433469,0.27035342947321633,0.02
8,NR_026075.1,1,1468,9,1419,96.6621,7.50886,17.8,4.67,13335,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum succiniciproducens,7.508855585831062,2.5222288159192323,0.3359005626208322,0.1
9,NR_026100.1,1,1499,5,1446,96.4643,4.6471,18.2,0.8,1286362,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora,Lacrimispora celerecrescens,4.647098065376918,0.9822693893013085,0.2113726406205371,0.06
10,NR_026312.1,1,1482,7,1451,97.9082,6.09582,18.0,6.86,180164,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,Blautia schinkii,6.095816464237517,1.5895224717857537,0.2607562877115881,0.08
11,NR_026330.1,1,1474,2,1439,97.6255,1.88263,17.7,1.0,53442,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,Eubacterium,Eubacterium callanderi,1.8826322930800543,0.3886931333346705,0.2064625868595691,0.02
12,NR_026331.1,1,1488,109,1480,99.4624,104.615,19.9,6.05,623,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri,104.6149193548387,13.802036159351097,0.13193181473988985,1.25
13,NR_026332.1,1,1487,3,1463,98.386,2.70881,16.7,8.67,622,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella dysenteriae,2.7088096839273708,0.5722303802053512,0.21124790848196554,0.03
14,NR_026409.1,1,1495,1,1410,94.3144,0.943144,16.1,1.0,29370,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora,Lacrimispora sphenoides,0.9431438127090301,0.23156761703162318,0.24552736699452243,0.01
15,NR_026476.1,1,1463,187,1447,98.9064,175.865,19.4,12.9,83771,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinivibrio,Succinivibrio dextrinosolvens,175.86534518113464,29.621033993082186,0.16843019278513138,2.15
