index,reference,startpos,ref length,number of reads,covbases,pc coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads
0,NR_025514.1,1,1518,1,1435,94.5323,0.945323,19.7,6.0,158847,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,0.9453227931488801,0.2273490925912824,0.2404989007341928,0.03
1,NR_025567.1,1,1498,35,1479,98.7316,32.9386,20.1,17.3,208479,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,32.938584779706275,5.791685825338004,0.1758328678682731,1.04
2,NR_025903.1,1,1537,1,1410,91.7372,0.917372,15.1,1.0,1379,Bacteria,unclassified Bacteria kingdom,Bacillota,Bacilli,Bacillales,Gemellaceae,Gemella,Gemella haemolysans,0.9173715029277814,0.2753198658720527,0.30011818003215956,0.03
3,NR_026100.1,1,1499,4,1447,96.531,3.73716,19.4,1.0,1286362,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora,Lacrimispora celerecrescens,3.7371581054036023,0.8004502958565045,0.2141868963743128,0.12
4,NR_026493.1,1,1488,3,1453,97.6478,2.86156,19.6,2.67,69825,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora,Lacrimispora indolis,2.861559139784946,0.522016086811111,0.18242365833136054,0.09
5,NR_027196.1,1,1342,1,1322,98.5097,0.985097,21.5,1.0,449673,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides stercoris,0.9850968703427719,0.12116528539003119,0.12299834568337509,0.03
6,NR_028686.1,1,1522,575,1505,98.883,536.517,20.0,56.3,67826,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,Citrobacter sedlakii,536.5170827858082,106.89892943441076,0.1992460871503837,17.11
7,NR_029097.1,1,1374,6,1321,96.1426,5.53202,19.8,1.67,237576,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Oribacterium,Oribacterium sinus,5.532023289665211,1.2791267306459262,0.23122222443198298,0.18
8,NR_036800.1,1,1481,42,1457,98.3795,39.865,19.9,47.2,411470,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Mediterraneibacter,Mediterraneibacter gnavus,39.86495611073599,6.062748145218299,0.15208214774844683,1.25
9,NR_041342.1,1,1488,21,1449,97.379,19.9052,19.9,32.5,823,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides distasonis,19.905241935483872,3.452601395046952,0.17345186791687311,0.62
10,NR_041343.1,1,1492,1,1434,96.1126,0.961126,21.3,60.0,46503,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides merdae,0.9611260053619303,0.19329461238986664,0.20111266505277617,0.03
11,NR_041351.1,1,1493,73,1477,98.9283,68.6852,20.0,51.8,357276,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola dorei,68.68519758874749,11.385706920558416,0.1657665307848471,2.17
12,NR_041590.1,1,1342,1474,1311,97.69,1372.65,20.5,33.7,742816,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas funiformis,1372.645305514158,287.21602078781547,0.20924270795522928,43.87
13,NR_042499.1,1,1368,2,1368,100.0,1.97953,23.5,9.5,657309,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides xylanisolvens,1.9795321637426901,0.1415941521965321,0.071529099041675,0.06
14,NR_042745.1,1,1493,13,1453,97.3208,12.424,21.4,0.0,204516,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola massiliensis,12.42397856664434,2.1470741423190174,0.17281695479445214,0.39
15,NR_042927.1,1,1471,2,1468,99.7961,1.97281,22.9,1.0,655813,Bacteria,unclassified Bacteria kingdom,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus oralis,1.972807613868117,0.17473356342763768,0.0885710102694883,0.06
16,NR_043224.1,1,1455,1,1390,95.5326,0.955326,20.4,0.0,305719,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Segatella,Segatella baroniae,0.9553264604810997,0.20658609436686326,0.21624659518257988,0.03
17,NR_043660.1,1,1470,2,1459,99.2517,1.95102,21.5,60.0,197614,Bacteria,unclassified Bacteria kingdom,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus pasteurianus,1.9510204081632654,0.24808582751701225,0.1271569618026527,0.06
18,NR_044289.1,1,1454,2,1454,100.0,1.97249,21.9,60.0,460384,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Enterocloster,Enterocloster lavalensis,1.9724896836313617,0.16356496832126347,0.0829231045812821,0.06
19,NR_044473.1,1,1399,192,1399,100.0,181.406,18.4,35.5,491921,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas rupellensis,181.4060042887777,13.547295955589925,0.07467942424895802,5.71
20,NR_044490.1,1,1482,11,1450,97.8408,10.448,19.8,53.4,501571,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Eubacteriales,Butyricicoccaceae,Butyricicoccus,Butyricicoccus pullicaecorum,10.44804318488529,1.7231650502223546,0.1649270604772365,0.33
21,NR_044644.2,1,1469,1,1403,95.5071,0.955071,20.2,1.0,39484,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Eubacteriales,Butyricicoccaceae,Agathobaculum,Agathobaculum desmolans,0.955071477195371,0.2071471714584181,0.2168917996239602,0.03
22,NR_044688.3,1,1456,3,1428,98.0769,2.89766,22.4,14.7,852,Bacteria,unclassified Bacteria kingdom,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium perfoetens,2.8976648351648353,0.4582516197518493,0.15814514300988208,0.09
23,NR_074515.1,1,1510,268,1473,97.5497,248.929,19.8,18.7,435590,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola vulgatus,248.92913907284768,50.91559967227407,0.2045385279598541,7.98
24,NR_102852.1,1,1519,1,1401,92.2317,0.922317,17.3,1.0,84030,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora,Lacrimispora saccharolytica,0.9223173140223832,0.2676716015510804,0.290216390261307,0.03
25,NR_102980.1,1,1552,2,1478,95.232,1.87564,20.6,1.0,1064535,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera elsdenii,1.8756443298969072,0.45194265361721736,0.24095328011471018,0.06
26,NR_104700.1,1,1493,1,1331,89.1494,0.891494,22.5,0.0,1532,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,Blautia coccoides,0.8914936369725385,0.31101886150202185,0.34887389949099823,0.03
27,NR_104899.1,1,1480,1,1406,95.0,0.95,20.4,1.0,384636,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora,Lacrimispora xylanisolvens,0.95,0.21794494717703375,0.22941573387056186,0.03
28,NR_104901.1,1,1515,1,1433,94.5875,0.945875,20.5,7.0,621,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella boydii,0.9458745874587459,0.22626500449361084,0.2392124785818705,0.03
29,NR_108477.1,1,1380,1,1322,95.7971,0.957971,17.6,1.0,701526,Bacteria,unclassified Bacteria kingdom,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus porcorum,0.9579710144927536,0.2006553011621646,0.20945863510120058,0.03
30,NR_112143.1,1,1397,6,1397,100.0,5.73515,19.3,2.5,821,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola vulgatus,5.735146743020759,0.632005078061516,0.11019858887318244,0.18
31,NR_112893.1,1,1479,2,1447,97.8364,1.91684,20.9,0.0,762984,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides clarus,1.9168356997971603,0.34571734232023676,0.18035835953849388,0.06
32,NR_112899.1,1,1491,1,1424,95.5064,0.955064,23.8,1.0,742742,Bacteria,unclassified Bacteria kingdom,Actinomycetota,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,Collinsella tanakaei,0.9550637156270959,0.20716422162058218,0.21691141463222474,0.03
33,NR_112901.1,1,1469,13,1439,97.9578,12.3485,19.4,0.0,762983,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinatimonas,Succinatimonas hippei,12.348536419332879,2.030661723242466,0.16444553866831219,0.39
34,NR_112932.1,1,1478,1,1373,92.8958,0.928958,18.0,50.0,47678,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides caccae,0.928958051420839,0.25689490092494494,0.27654090572983875,0.03
35,NR_112935.1,1,1488,88,1453,97.6478,83.006,19.7,57.4,28111,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides eggerthii,83.00604838709677,13.88230446991809,0.16724449289741258,2.62
36,NR_112938.1,1,1478,22,1463,98.9851,20.9161,20.1,0.0,204516,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola massiliensis,20.916102841677944,2.893415224133514,0.1383343372345647,0.65
37,NR_112940.1,1,1459,4,1451,99.4517,3.89376,21.2,18.8,28116,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides ovatus,3.893762851267992,0.4306085735600252,0.11058931681465882,0.12
38,NR_112943.1,1,1476,16,1476,100.0,14.8286,19.6,58.2,449673,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides stercoris,14.82859078590786,2.04681547035174,0.13803169160867948,0.48
39,NR_112945.1,1,1477,5,1449,98.1043,4.76168,20.1,36.0,820,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides uniformis,4.761679079214624,0.7841140379853606,0.16467175232537717,0.15
40,NR_112946.1,1,1489,54,1461,98.1195,51.2122,20.1,5.83,821,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola vulgatus,51.21222296843519,8.533697969554416,0.1666340079557606,1.61
41,NR_112947.1,1,1465,5,1452,99.1126,4.83618,20.0,37.8,657309,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides xylanisolvens,4.836177474402731,0.5973105788006849,0.12350882116344437,0.15
42,NR_113065.1,1,1488,4,1450,97.4462,3.83468,21.1,0.5,762984,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides clarus,3.8346774193548385,0.671686733518491,0.17516120916149922,0.12
43,NR_113077.1,1,1480,111,1480,100.0,105.38,19.8,41.7,454154,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Paraprevotella,Paraprevotella clara,105.37972972972973,14.501877601917903,0.1376154374196182,3.3
