index,reference,startpos,ref length,number of reads,covbases,pc coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads
0,NR_025230.1,1,1411,7,1407,99.7165,6.72856,31.7,1.0,187326,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,6.7285613040396886,0.837226945214909,0.12442882027577802,0.1
1,NR_025514.1,1,1518,254,1508,99.3412,238.671,28.2,24.0,158847,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,238.67127799736497,40.351085780473944,0.16906552861764723,3.52
2,NR_025525.1,1,1475,8,1461,99.0508,7.74644,35.9,50.2,185008,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Butyrivibrio,Butyrivibrio hungatei,7.746440677966102,1.2037142556241396,0.15538933371657673,0.11
3,NR_025567.1,1,1498,27,1456,97.1963,25.8451,37.1,10.9,208479,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,25.84512683578104,4.702502630719454,0.1819492959194582,0.37
4,NR_025981.1,1,1477,1,1342,90.8599,0.908599,31.4,29.0,831,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Butyrivibrio,Butyrivibrio fibrisolvens,0.9085985104942451,0.2881792102527256,0.3171689221633947,0.01
5,NR_026100.1,1,1499,10,1446,96.4643,9.57438,37.1,2.1,1286362,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora,Lacrimispora celerecrescens,9.574382921947965,1.856143236555739,0.1938655735505193,0.14
6,NR_026312.1,1,1482,1,1126,75.9784,0.759784,36.7,1.0,180164,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,Blautia schinkii,0.7597840755735492,0.4272145059316181,0.5622841010574228,0.01
7,NR_026330.1,1,1474,1,1434,97.2863,0.972863,33.6,11.0,53442,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,Eubacterium,Eubacterium callanderi,0.9728629579375848,0.16248268526374682,0.16701497773972301,0.01
8,NR_026409.1,1,1495,1,1445,96.6555,0.966555,38.5,1.0,29370,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora,Lacrimispora sphenoides,0.9665551839464883,0.179795050912583,0.18601633295108067,0.01
9,NR_027549.1,1,1473,1,1448,98.3028,0.983028,38.3,12.0,585054,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia fergusonii,0.9830278343516633,0.1291669897518024,0.13139708280690948,0.01
