index,reference,startpos,ref length,number of reads,covbases,pc coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads
0,NR_025230.1,1,1411,6,1410,99.9291,5.47768,33.8,4.5,187326,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,5.477675407512402,0.8127469478446464,0.14837442662812733,0.03
1,NR_025514.1,1,1518,181,1500,98.8142,171.418,32.0,31.8,158847,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,171.41831357048747,28.965557790778437,0.1689758648737829,0.8
2,NR_025518.1,1,1494,16542,1468,98.2597,15510.8,34.9,50.0,179995,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum thomasii,15510.753681392236,3367.5558680345366,0.21711104032774936,73.26
3,NR_025567.1,1,1498,1,1462,97.5968,0.975968,39.8,1.0,208479,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,0.9759679572763685,0.1531486325311496,0.15691973428978256,0.0
4,NR_025796.1,1,1435,1,985,68.6411,0.686411,40.5,1.0,259063,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Anaerocolumna,Anaerocolumna jejuensis,0.686411149825784,0.46395138023356597,0.6759088635890022,0.0
5,NR_025981.1,1,1477,1,1198,81.1104,0.811104,26.0,1.0,831,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Butyrivibrio,Butyrivibrio fibrisolvens,0.8111035883547731,0.3914263114722666,0.4825848598034539,0.0
6,NR_026075.1,1,1468,66,1440,98.0926,52.7922,23.0,3.77,13335,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum succiniciproducens,52.79223433242507,18.86510322078634,0.3573461790231403,0.29
7,NR_026100.1,1,1499,4,1446,96.4643,3.82188,35.2,1.0,1286362,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora,Lacrimispora celerecrescens,3.8218812541694462,0.757194663928339,0.19812092882328158,0.02
8,NR_026409.1,1,1495,4,1465,97.9933,3.86689,35.3,4.75,29370,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora,Lacrimispora sphenoides,3.8668896321070236,0.64321050757096,0.16633795343687685,0.02
9,NR_026476.1,1,1463,46,1454,99.3848,39.6213,26.0,3.5,83771,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinivibrio,Succinivibrio dextrinosolvens,39.621326042378676,8.21158238016558,0.20725157889421805,0.2
10,NR_026493.1,1,1488,1,1442,96.9086,0.969086,33.1,1.0,69825,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora,Lacrimispora indolis,0.9690860215053764,0.1730846741576442,0.1786060992694692,0.0
11,NR_027196.1,1,1342,1,1331,99.1803,0.991803,30.8,1.0,449673,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides stercoris,0.9918032786885246,0.09016393442623086,0.09090909090909227,0.0
12,NR_028862.1,1,1537,43,1517,98.6988,40.391,34.7,59.8,209880,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Allisonella,Allisonella histaminiformans,40.39102147039688,6.998930864365743,0.1732793727312728,0.19
13,NR_029097.1,1,1374,225,1322,96.2154,211.019,34.5,1.95,237576,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Oribacterium,Oribacterium sinus,211.018922852984,45.62097429354032,0.21619375967208526,1.0
14,NR_029207.1,1,1426,3,1382,96.9144,2.68583,25.4,1.0,907,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera elsdenii,2.685834502103787,0.6982516017874013,0.25997566165765906,0.01
15,NR_040866.1,1,1425,3,1425,100.0,2.88211,33.1,12.3,820,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides uniformis,2.8821052631578947,0.37854169318723796,0.13134207762157635,0.01
16,NR_040877.1,1,1494,3,1454,97.3226,2.39491,25.5,0.667,537011,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Segatella,Segatella copri,2.394912985274431,0.6966170591511919,0.29087364068526567,0.01
17,NR_041277.1,1,1490,308,1490,100.0,294.607,33.4,56.4,484018,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola plebeius,294.60738255033556,48.41414818165937,0.16433447038071936,1.36
18,NR_041313.1,1,1485,1,1435,96.633,0.96633,37.1,35.0,338188,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides finegoldii,0.9663299663299664,0.1803783870165512,0.1866633482366401,0.0
19,NR_041342.1,1,1488,68,1488,100.0,65.2231,32.9,7.74,823,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides distasonis,65.22311827956989,10.597154363267093,0.1624754326808457,0.3
20,NR_041343.1,1,1492,62,1474,98.7936,58.9303,34.2,55.0,46503,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides merdae,58.93029490616622,10.122862885376856,0.17177689169034926,0.27
