index,reference,startpos,ref length,number of reads,covbases,pc coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads
0,NR_024640.1,1,1422,23,1422,100.0,21.9613,19.6,15.4,61645,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter asburiae,21.961322081575247,1.4762233512927572,0.0672192387056358,0.21
1,NR_025230.1,1,1411,11,1410,99.9291,9.90716,19.2,1.64,187326,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,9.907158043940468,1.4043664073900608,0.1417527005384774,0.1
2,NR_025514.1,1,1518,1697,1508,99.3412,1594.71,19.4,36.2,158847,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,1594.7134387351778,271.6169199736549,0.17032334046741565,15.64
3,NR_025525.1,1,1475,2,1438,97.4915,1.88339,18.0,29.5,185008,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Butyrivibrio,Butyrivibrio hungatei,1.8833898305084746,0.39138437550329663,0.2078084787139534,0.02
4,NR_025567.1,1,1498,17,1463,97.6636,15.8231,18.7,6.0,208479,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,15.823097463284379,2.990206625982276,0.18897732463069863,0.16
5,NR_025569.1,1,1494,1,1421,95.1138,0.951138,22.4,0.0,208962,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia albertii,0.9511378848728246,0.21557970412929633,0.22665452355325036,0.01
6,NR_025904.1,1,1536,2,1474,95.9635,1.88346,20.3,1.0,29391,Bacteria,unclassified Bacteria kingdom,Bacillota,Bacilli,Bacillales,Gemellaceae,Gemella,Gemella morbillorum,1.8834635416666667,0.4285847394379846,0.22755138602721892,0.02
7,NR_025981.1,1,1477,5,1458,98.7136,4.57549,20.6,6.0,831,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Butyrivibrio,Butyrivibrio fibrisolvens,4.575490859851049,1.0642312711346265,0.23259390166703808,0.05
8,NR_026100.1,1,1499,20,1474,98.3322,18.8746,20.3,3.2,1286362,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora,Lacrimispora celerecrescens,18.87458305537025,3.575584466786634,0.18943912330658338,0.18
9,NR_026312.1,1,1482,6,1370,92.4426,5.02362,18.5,19.5,180164,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,Blautia schinkii,5.02361673414305,1.6770607228785726,0.33383532455420345,0.06
