index,reference,startpos,ref length,number of reads,covbases,pc coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads
0,NR_024641.1,1,1450,1,1322,91.1724,0.911724,13.0,1.0,1354260,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Pluralibacter,Pluralibacter gergoviae,0.9117241379310345,0.2836956718826452,0.3111639366337637,0.01
1,NR_025230.1,1,1411,7,1404,99.5039,6.44933,32.3,1.57,187326,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,6.449326718639263,0.9110421367308554,0.14126158845354253,0.08
2,NR_025514.1,1,1518,172,1509,99.4071,163.523,33.4,34.4,158847,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,163.52305665349144,27.775268534651815,0.16985536537216372,1.98
3,NR_025567.1,1,1498,22,1456,97.1963,20.6242,33.3,10.8,208479,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,20.624165554072096,3.865167892223466,0.18740966184012792,0.25
4,NR_025569.1,1,1494,3,1463,97.925,2.78046,22.7,8.67,208962,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia albertii,2.78045515394913,0.5761835444582638,0.20722633977386765,0.03
5,NR_025904.1,1,1536,1,1461,95.1172,0.951172,38.4,9.0,29391,Bacteria,unclassified Bacteria kingdom,Bacillota,Bacilli,Bacillales,Gemellaceae,Gemella,Gemella morbillorum,0.951171875,0.21550855947962805,0.22657162721472188,0.01
6,NR_025981.1,1,1477,1,1334,90.3182,0.903182,27.6,11.0,831,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Butyrivibrio,Butyrivibrio fibrisolvens,0.903182125930941,0.29570960980293504,0.32740861595122567,0.01
7,NR_026100.1,1,1499,14,1447,96.531,13.1441,37.2,3.21,1286362,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora,Lacrimispora celerecrescens,13.144096064042696,2.6267565678650953,0.199843074416575,0.16
8,NR_026312.1,1,1482,3,1365,92.1053,2.47301,30.5,38.7,180164,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,Blautia schinkii,2.4730094466936574,0.9563412827195025,0.38671153642300204,0.03
9,NR_026331.1,1,1488,874,1488,100.0,849.401,38.2,2.69,623,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri,849.4005376344086,107.09705451473664,0.12608545647145847,10.04
10,NR_026332.1,1,1487,4,1463,98.386,3.82851,23.6,16.0,622,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella dysenteriae,3.828513786146604,0.5920744283963367,0.15464863429217507,0.05
11,NR_026409.1,1,1495,1,1433,95.8528,0.958528,37.4,11.0,29370,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora,Lacrimispora sphenoides,0.9585284280936455,0.19937823509593647,0.208004509049843,0.01
12,NR_026493.1,1,1488,2,1451,97.5134,1.9328,35.2,1.0,69825,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora,Lacrimispora indolis,1.9327956989247312,0.3352895253179734,0.17347385732724074,0.02
13,NR_027549.1,1,1473,47,1458,98.9817,44.8649,33.0,9.43,585054,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia fergusonii,44.86490156143924,6.60761946829816,0.1472781447931966,0.54
14,NR_028682.1,1,1538,1,1465,95.2536,0.952536,35.5,60.0,137732,Bacteria,unclassified Bacteria kingdom,Bacillota,Bacilli,Lactobacillales,Carnobacteriaceae,Granulicatella,Granulicatella elegans,0.9525357607282184,0.21262969045298635,0.22322489004552423,0.01
15,NR_029097.1,1,1374,124,1322,96.2154,116.418,36.3,1.23,237576,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Oribacterium,Oribacterium sinus,116.41848617176129,25.49036365646046,0.2189546050173899,1.42
16,NR_029207.1,1,1426,2,1377,96.5638,1.86746,32.9,5.0,907,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera elsdenii,1.867461430575035,0.4285974798159059,0.22950807593596764,0.02
17,NR_036993.1,1,1500,1,1420,94.6667,0.946667,35.7,1.0,35517,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Eubacteriales,Eubacteriales Family XIII. Incertae Sedis,unclassified Eubacteriales Family XIII. Incertae Sedis genus,[Eubacterium] brachy,0.9466666666666667,0.22469732728470443,0.2373563316387723,0.01
18,NR_037088.1,1,1453,2,1437,98.8988,1.89057,18.6,1.0,76122,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella,Alloprevotella tannerae,1.8905712319339298,0.34565519328944466,0.1828310869492403,0.02
19,NR_040866.1,1,1425,2,1425,100.0,1.98526,40.3,1.0,820,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides uniformis,1.9852631578947368,0.12049758333687666,0.06069602554084455,0.02
20,NR_040877.1,1,1494,4,1454,97.3226,3.41031,27.7,0.75,537011,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Segatella,Segatella copri,3.4103078982597057,0.8452882473624269,0.24786273632177933,0.05
21,NR_041277.1,1,1490,298,1489,99.9329,286.307,35.5,57.4,484018,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola plebeius,286.306711409396,46.85238014686975,0.16364401629368217,3.42
22,NR_041313.1,1,1485,4,1446,97.3737,3.85051,36.3,31.5,338188,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides finegoldii,3.8505050505050504,0.6650546779941977,0.17271881721255397,0.05
23,NR_041342.1,1,1488,187,1488,100.0,180.162,35.3,8.78,823,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides distasonis,180.1619623655914,29.05863981266201,0.1612917589879218,2.15
24,NR_041343.1,1,1492,133,1490,99.866,127.043,35.9,54.7,46503,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides merdae,127.04289544235925,21.863169028780206,0.17209281127176265,1.53
25,NR_041351.1,1,1493,15,1454,97.3878,14.0636,31.5,12.6,357276,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola dorei,14.06363027461487,2.704583582289731,0.19231048665802583,0.17
26,NR_041446.1,1,1456,16,1449,99.5192,15.3716,30.2,2.94,376804,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola barnesiae,15.371565934065934,2.013004224881087,0.13095635366725628,0.18
27,NR_041508.1,1,1461,1,1352,92.5394,0.925394,30.7,1.0,397865,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Barnesiellaceae,Barnesiella,Barnesiella viscericola,0.9253935660506503,0.2627552358426213,0.28393890500448943,0.01
28,NR_041590.1,1,1342,703,1309,97.541,662.253,36.7,11.2,742816,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas funiformis,662.25260804769,143.45934521723515,0.21662329974079073,8.08
29,NR_042152.1,1,1456,4,1366,93.8187,3.27816,31.7,0.25,168384,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Marvinbryantia,Marvinbryantia formatexigens,3.278159340659341,1.1674222175165427,0.3561212547043969,0.05
30,NR_042499.1,1,1368,1,1350,98.6842,0.986842,22.2,3.0,657309,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides xylanisolvens,0.9868421052631579,0.11395071102426951,0.11547005383792644,0.01
31,NR_043224.1,1,1455,29,1452,99.7938,27.844,30.8,0.552,305719,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Segatella,Segatella baroniae,27.843986254295533,3.8284147329552796,0.13749520984498634,0.33
32,NR_043657.1,1,1553,65,1525,98.197,59.1017,31.1,12.2,349095,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera paucivorans,59.101738570508694,13.334179324290092,0.2256139945592691,0.75
33,NR_044473.1,1,1399,9,1397,99.857,8.65118,31.4,4.11,491921,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas rupellensis,8.651179413867048,0.8402727500476063,0.09712811512158978,0.1
34,NR_074376.1,1,1497,12,1471,98.2632,11.2572,34.2,0.25,435591,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides distasonis,11.257181028724116,2.0955762331138517,0.18615461790715854,0.14
35,NR_074515.1,1,1510,73,1475,97.6821,69.255,36.5,30.6,435590,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola vulgatus,69.25496688741723,13.980706614804378,0.20187298100267376,0.84
36,NR_074902.1,1,1542,904,1511,97.9896,850.234,38.7,0.663,585054,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia fergusonii,850.23411154345,193.4133535912846,0.22748246743497125,10.39
37,NR_102980.1,1,1552,329,1508,97.1649,309.592,37.4,1.55,1064535,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera elsdenii,309.5921391752577,67.31577008491358,0.21743371864750946,3.78
38,NR_104826.1,1,1530,9,1464,95.6863,8.45817,33.8,0.556,624,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella sonnei,8.458169934640523,1.839263648449523,0.2174540902656495,0.1
39,NR_104901.1,1,1515,117,1489,98.2838,111.717,38.3,1.26,621,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella boydii,111.71749174917491,20.79751645601899,0.18616168453471021,1.34
40,NR_112143.1,1,1397,4,1397,100.0,3.90766,32.7,2.75,821,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola vulgatus,3.9076592698639945,0.38501647355031554,0.09852867073636028,0.05
41,NR_112899.1,1,1491,19,1441,96.6465,18.0007,34.1,0.0526,742742,Bacteria,unclassified Bacteria kingdom,Actinomycetota,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,Collinsella tanakaei,18.000670690811535,3.7781360605584093,0.20988862723248214,0.22
42,NR_112901.1,1,1469,21,1439,97.9578,20.369,38.2,0.0,762983,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinatimonas,Succinatimonas hippei,20.368958475153164,3.180311336175774,0.1561351966059158,0.24
43,NR_112931.1,1,1490,1,1337,89.7315,0.897315,12.2,24.0,85831,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides acidifaciens,0.8973154362416107,0.30354644475621456,0.3382828741112638,0.01
44,NR_112938.1,1,1478,2,1423,96.2788,1.70907,22.6,0.0,204516,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola massiliensis,1.709066305818674,0.5298265549053103,0.3100093618962979,0.02
45,NR_112940.1,1,1459,2,1451,99.4517,1.97807,38.4,44.5,28116,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides ovatus,1.978067169294037,0.1800505401162894,0.0910234712507506,0.02
46,NR_112943.1,1,1476,3,1449,98.1707,2.9248,38.9,60.0,449673,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides stercoris,2.9247967479674797,0.4234428184267973,0.14477683576510375,0.03
47,NR_112945.1,1,1477,9,1455,98.5105,8.67976,33.1,37.0,820,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides uniformis,8.679756262694651,1.2379479143986931,0.14262473241551246,0.1
48,NR_112946.1,1,1489,68,1460,98.0524,64.8972,35.6,3.09,821,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola vulgatus,64.89724647414371,12.256583015120688,0.1888613721077356,0.78
49,NR_112947.1,1,1465,3,1451,99.0444,2.95427,36.9,54.3,657309,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides xylanisolvens,2.9542662116040956,0.3177736505028505,0.10756432485828928,0.03
50,NR_113015.1,1,1490,9,1446,97.047,8.48993,32.0,2.67,1236538,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola sartorii,8.48993288590604,1.734828578516608,0.20433949264741075,0.1
51,NR_113064.1,1,1490,281,1490,100.0,267.387,36.3,0.986,1236538,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola sartorii,267.3872483221476,52.00654035868193,0.19449895492407535,3.23
52,NR_113071.1,1,1493,1,817,54.722,0.54722,37.0,1.0,1236498,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola paurosaccharolyticus,0.5472203616878768,0.49776524330457916,0.9096248571037168,0.01
