index,reference,startpos,ref length,number of reads,covbases,pc coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads
0,NR_024815.1,1,1490,5,1449,97.2483,4.64765,18.4,11.6,228603,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Hoylesella,Hoylesella shahii,4.647651006711409,0.9595919079908605,0.2064681506001996,0.05
1,NR_025230.1,1,1411,10,1404,99.5039,9.29199,20.4,1.5,187326,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,9.291991495393338,1.3062840821966888,0.14058171306380352,0.1
2,NR_025514.1,1,1518,298,1508,99.3412,280.612,19.7,32.4,158847,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,280.61198945981556,47.45092785752534,0.1690980059293598,3.02
3,NR_025518.1,1,1494,1012,1464,97.992,934.582,19.4,40.4,179995,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum thomasii,934.5823293172691,203.48988866316816,0.21773350755713683,10.26
4,NR_025525.1,1,1475,1,1404,95.1864,0.951864,18.1,60.0,185008,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Butyrivibrio,Butyrivibrio hungatei,0.951864406779661,0.21405269885162903,0.2248773011439835,0.01
5,NR_025567.1,1,1498,19,1475,98.4646,17.6088,19.1,7.26,208479,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,17.608811748998665,3.2372543217981518,0.1838428604918353,0.19
6,NR_025569.1,1,1494,1,1416,94.7791,0.947791,17.2,22.0,208962,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia albertii,0.9477911646586346,0.2224479104277305,0.23470139701908851,0.01
7,NR_025796.1,1,1435,4,1352,94.216,3.5547,17.3,1.25,259063,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Anaerocolumna,Anaerocolumna jejuensis,3.554703832752613,1.0313739522394987,0.2901434270660029,0.04
8,NR_025981.1,1,1477,3,1413,95.6669,2.72173,18.0,12.3,831,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Butyrivibrio,Butyrivibrio fibrisolvens,2.721733243060257,0.7042920755070672,0.2587660187870493,0.03
9,NR_026075.1,1,1468,10,1434,97.6839,8.36649,16.6,9.9,13335,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum succiniciproducens,8.366485013623977,2.53380832889853,0.30285219238096744,0.1
10,NR_026100.1,1,1499,9,1467,97.8652,8.50634,19.6,1.56,1286362,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora,Lacrimispora celerecrescens,8.506337558372248,1.6052552523135915,0.18871285571469482,0.09
11,NR_026106.1,1,1489,1,1322,88.7844,0.887844,19.3,1.0,29322,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,Eubacterium,[Eubacterium] cellulosolvens,0.8878441907320349,0.3155580512606411,0.3554205282353212,0.01
12,NR_026312.1,1,1482,1,1263,85.2227,0.852227,15.8,1.0,180164,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,Blautia schinkii,0.8522267206477733,0.35487510093230795,0.41640926332674616,0.01
13,NR_026331.1,1,1488,346,1488,100.0,330.911,19.6,7.53,623,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri,330.91129032258067,43.3591240221649,0.13102944894958807,3.51
14,NR_026332.1,1,1487,2,1460,98.1843,1.87088,15.6,1.0,622,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella dysenteriae,1.870880968392737,0.3856968173625639,0.206157860322837,0.02
15,NR_026409.1,1,1495,7,1456,97.3913,6.62742,19.9,3.29,29370,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora,Lacrimispora sphenoides,6.62742474916388,1.206303285071702,0.18201689656663245,0.07
16,NR_026476.1,1,1463,348,1456,99.5215,326.524,19.4,15.5,83771,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinivibrio,Succinivibrio dextrinosolvens,326.52426520847575,55.01028853365312,0.16847228336470102,3.53
