index,reference,startpos,ref length,number of reads,covbases,pc coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads
0,NR_025230.1,1,1411,18,1409,99.8583,16.8852,18.5,5.0,187326,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,16.885187810063783,2.1192981911434474,0.12551226643036326,0.23
1,NR_025514.1,1,1518,944,1510,99.473,886.401,19.5,39.2,158847,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,886.401185770751,151.4503416310061,0.17085981388812757,11.86
2,NR_025518.1,1,1494,1,1344,89.9598,0.899598,17.1,19.0,179995,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum thomasii,0.8995983935742972,0.30053472986135904,0.3340765523905286,0.01
3,NR_025567.1,1,1498,46,1457,97.263,43.4179,20.4,9.41,208479,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,43.41789052069426,7.973520954043432,0.18364597769306676,0.58
4,NR_025981.1,1,1477,1,1341,90.7921,0.907921,17.7,1.0,831,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Butyrivibrio,Butyrivibrio fibrisolvens,0.9079214624238321,0.2891367850931462,0.31846012795121326,0.01
5,NR_026100.1,1,1499,67,1454,96.998,62.5317,20.2,2.49,1286362,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora,Lacrimispora celerecrescens,62.53168779186124,12.162433134030001,0.19450031757519573,0.84
6,NR_026151.1,1,1473,1,1405,95.3836,0.953836,20.3,60.0,36835,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Tyzzerella,[Clostridium] colinum,0.9538357094365241,0.20984077020504588,0.2199967647772474,0.01
7,NR_026312.1,1,1482,2,1365,92.1053,1.72874,14.2,12.5,180164,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,Blautia schinkii,1.728744939271255,0.5962973164453261,0.3449307661873432,0.03
8,NR_026409.1,1,1495,18,1454,97.2575,16.9084,19.6,2.5,29370,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora,Lacrimispora sphenoides,16.908361204013378,3.037386383627329,0.1796381297382252,0.23
9,NR_026493.1,1,1488,38,1462,98.2527,36.0457,19.5,4.34,69825,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora,Lacrimispora indolis,36.045698924731184,5.818196132130171,0.1614116609107632,0.48
10,NR_026494.1,1,1499,3,1453,96.9313,2.82789,19.8,0.333,84030,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora,Lacrimispora saccharolytica,2.827885256837892,0.5864800963758954,0.2073917585438705,0.04
11,NR_028862.1,1,1537,87,1520,98.8939,82.1132,19.6,59.6,209880,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Allisonella,Allisonella histaminiformans,82.11320754716981,14.190733042569779,0.17281912942467792,1.09
