index,reference,startpos,ref length,number of reads,covbases,pc coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads
0,NR_024640.1,1,1422,12,1422,100.0,11.6688,20.7,11.4,61645,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter asburiae,11.668776371308017,0.7120589146628337,0.06102258643105825,0.13
1,NR_025230.1,1,1411,1,1238,87.7392,0.877392,22.9,1.0,187326,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,0.8773919206236711,0.32798679584394247,0.37382016876882296,0.01
2,NR_025514.1,1,1518,150,1507,99.2754,139.786,19.0,26.9,158847,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,139.7859025032938,23.890304568600186,0.17090639428419652,1.6
3,NR_025525.1,1,1475,2,1437,97.4237,1.89492,19.0,58.0,185008,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Butyrivibrio,Butyrivibrio hungatei,1.8949152542372882,0.3815329156173935,0.20134563525425953,0.02
4,NR_025567.1,1,1498,39,1457,97.263,36.4553,19.4,6.67,208479,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,36.45527369826435,6.691140713205362,0.183543834249801,0.41
5,NR_025569.1,1,1494,2,1464,97.992,1.90295,20.4,1.0,208962,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia albertii,1.9029451137884872,0.3574854931941505,0.18785906677174144,0.02
6,NR_025796.1,1,1435,1,1289,89.8258,0.898258,16.3,1.0,259063,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Anaerocolumna,Anaerocolumna jejuensis,0.8982578397212544,0.30230893652116997,0.33655029007593396,0.01
7,NR_025981.1,1,1477,1,1338,90.589,0.90589,20.6,1.0,831,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Butyrivibrio,Butyrivibrio fibrisolvens,0.9058903182125931,0.29198124868093656,0.3223141287755929,0.01
8,NR_026100.1,1,1499,35,1450,96.7312,32.8486,20.2,2.83,1286362,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora,Lacrimispora celerecrescens,32.84856571047365,6.406229478271174,0.19502311104647624,0.37
9,NR_026106.1,1,1489,1,1271,85.3593,0.853593,15.8,1.0,29322,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,Eubacterium,[Eubacterium] cellulosolvens,0.8535930154466085,0.3535137612984474,0.4141479076108483,0.01
